player_id,player,draft_year,rookie_season,age,height_in,weight_lbs,position,games,minutes,mpg,usg_pct,pts,reb,ast,stl,blk,tov,fga,fgm,fg_pct,fg3a,fg3m,fg3_pct,fta,ftm,ft_pct,ftr,off_rating,def_rating,net_rating,pace,bpm,vorp
2030,Kenyon Martin,2000,2001,,81.0,225.0,Forward,68,2273.3233333333333,33.43122549019608,,814,502,131,78,113,138,777,346,0.445,11,1,0.091,192,121,0.63,0.2471042471042471,,,,,,
2031,Stromile Swift,2000,2001,,82.0,220.0,Forward-Center,80,1313.22,16.41525,,391,284,28,62,82,64,339,153,0.451,4,0,0.0,141,85,0.603,0.415929203539823,,,,,,
2032,Darius Miles,2000,2001,,81.0,235.0,Forward,81,2139.1633333333334,26.409423868312757,,761,477,99,51,125,147,630,318,0.505,19,1,0.053,238,124,0.521,0.37777777777777777,,,,,,
2033,Marcus Fizer,2000,2001,,,,,72,1581.3533333333332,21.96324074074074,,683,313,76,30,19,124,646,278,0.43,39,10,0.256,161,117,0.727,0.24922600619195046,,,,,,
2034,Mike Miller,2000,2001,,80.0,218.0,Guard-Forward,82,2388.935,29.133353658536585,,975,327,140,51,19,97,845,368,0.436,364,148,0.407,128,91,0.711,0.1514792899408284,,,,,,
2035,DerMarr Johnson,2000,2001,,81.0,210.0,Forward-Guard,78,1309.915,16.79378205128205,,397,178,64,43,30,93,390,146,0.374,127,41,0.323,87,64,0.736,0.2230769230769231,,,,,,
2037,Jamal Crawford,2000,2001,,77.0,200.0,Guard,61,1046.6216666666667,17.15773224043716,,282,89,141,43,14,85,304,107,0.352,117,41,0.35,34,27,0.794,0.1118421052631579,,,,,,
2042,Courtney Alexander,2000,2001,,77.0,205.0,Guard,65,1373.9116666666666,21.137102564102562,,618,143,62,45,5,75,573,239,0.417,46,17,0.37,150,123,0.82,0.2617801047120419,,,,,,
2046,Desmond Mason,2000,2001,,77.0,222.0,Guard,78,1523.5283333333334,19.53241452991453,,463,249,63,39,20,53,439,189,0.431,67,18,0.269,91,67,0.736,0.2072892938496583,,,,,,
2047,Quentin Richardson,2000,2001,,78.0,228.0,Forward,76,1356.0533333333333,17.84280701754386,,613,257,62,42,7,64,525,232,0.442,151,50,0.331,158,99,0.627,0.30095238095238097,,,,,,
2050,Morris Peterson,2000,2001,,79.0,220.0,Guard,80,1810.575,22.6321875,,747,259,105,63,20,78,673,290,0.431,165,63,0.382,145,104,0.717,0.21545319465081725,,,,,,
2058,Mark Madsen,2000,2001,,81.0,255.0,Forward,70,636.8783333333333,9.098261904761905,,137,152,24,8,8,27,113,55,0.487,1,1,1.0,37,26,0.703,0.3274336283185841,,,,,,
2062,A.J. Guyton,2000,2001,,74.0,185.0,Guard,33,628.5383333333333,19.04661616161616,,198,36,64,9,5,24,192,78,0.406,69,27,0.391,18,15,0.833,0.09375,,,,,,
2067,Eddie House,2000,2001,,73.0,190.0,Guard,50,544.805,10.896099999999999,,251,42,52,13,0,35,247,104,0.421,55,19,0.345,35,24,0.686,0.1417004048582996,,,,,,
2199,Tyson Chandler,2001,2002,,84.0,235.0,Center,71,1392.8166666666666,19.617136150234742,,436,343,54,28,93,99,304,151,0.497,0,0,0.0,222,134,0.604,0.7302631578947368,,,,,,
2200,Pau Gasol,2001,2002,,84.0,250.0,Center-Forward,82,3001.866666666667,36.608130081300814,,1441,730,223,41,169,224,1064,551,0.518,5,1,0.2,477,338,0.709,0.4483082706766917,,,,,,
2202,Jason Richardson,2001,2002,,78.0,225.0,Guard,80,2627.845,32.8480625,,1151,340,236,106,31,160,1090,464,0.426,246,82,0.333,210,141,0.671,0.1926605504587156,,,,,,
2203,Shane Battier,2001,2002,,80.0,220.0,Forward,78,3098.1,39.71923076923077,,1125,418,216,121,81,155,961,412,0.429,276,103,0.373,283,198,0.7,0.29448491155046824,,,,,,
2204,Eddie Griffin,2001,2002,,81.0,222.0,Forward,73,1895.4766666666667,25.96543378995434,,642,416,53,17,134,47,666,244,0.366,273,90,0.33,86,64,0.744,0.12912912912912913,,,,,,
2207,Joe Johnson,2001,2002,,79.0,240.0,Guard-Forward,77,1916.7366666666667,24.892683982683984,,581,257,179,59,20,71,584,251,0.43,130,38,0.292,53,41,0.774,0.09075342465753425,,,,,,
2210,Richard Jefferson,2001,2002,,79.0,233.0,Forward,79,1919.4233333333334,24.29649789029536,,742,293,140,64,48,107,591,270,0.457,56,13,0.232,265,189,0.713,0.44839255499153974,,,,,,
2211,Troy Murphy,2001,2002,,83.0,245.0,Forward-Center,82,1450.3916666666667,17.68770325203252,,480,322,70,36,21,84,423,178,0.421,9,3,0.333,156,121,0.776,0.36879432624113473,,,,,,
2212,Steven Hunter,2001,2002,,84.0,240.0,Center,53,514.0466666666666,9.698993710691823,,189,97,5,5,43,16,147,67,0.456,0,0,0.0,94,55,0.585,0.6394557823129252,,,,,,
2215,Jason Collins,2001,2002,,84.0,255.0,Center,77,1403.1083333333333,18.222186147186147,,350,301,81,29,47,72,278,117,0.421,2,1,0.5,164,115,0.701,0.5899280575539568,,,,,,
2222,Gerald Wallace,2001,2002,,79.0,220.0,Forward,54,431.71666666666664,7.9947530864197525,,173,89,27,19,6,22,175,75,0.429,7,0,0.0,46,23,0.5,0.26285714285714284,,,,,,
2224,Jamaal Tinsley,2001,2002,,75.0,188.0,Guard,80,2443.415,30.5426875,,751,298,647,138,40,270,760,289,0.38,175,42,0.24,186,131,0.704,0.24473684210526317,,,,,,
2225,Tony Parker,2001,2002,,74.0,185.0,Guard,77,2271.1783333333333,29.49582251082251,,705,197,334,89,7,151,639,268,0.419,189,61,0.323,160,108,0.675,0.25039123630672927,,,,,,
