Rk,Player,USG%,Draft Team,Round,Pick,Draft Year,College,Season,Age,Team,G,GS,AS,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS▼,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,-9999
1,Kon Knueppel,22.3,CHA,1,4,2025,Duke,2025-26,20,CHO,34,33,0,9.8,20.4,4.5,8.2,5.3,12.3,3.7,4.1,1.4,6.0,7.5,5.1,0.9,0.3,3.5,3.4,28.5,.479,.556,.428,.885,.640,.608,G-F,knuepko01
2,Dylan Harper,25.1,SAS,1,2,2025,Rutgers,2025-26,19,SAS,25,0,0,10.2,22.8,8.7,17.2,1.5,5.6,3.9,5.4,2.0,5.2,7.2,8.3,2.4,0.4,3.5,4.5,25.8,.447,.505,.270,.721,.513,.481,G,harpedy01
3,Cooper Flagg,23.5,DAL,1,1,2025,Duke,2025-26,19,DAL,35,35,0,9.8,20.6,8.6,16.0,1.2,4.6,4.9,6.0,1.6,7.2,8.8,5.6,1.7,1.1,3.0,3.2,25.8,.476,.535,.271,.813,.554,.507,F-G,flaggco01
4,Jeremiah Fears,25.0,NOH,1,7,2025,Oklahoma,2025-26,19,NOP,36,34,0,9.7,22.2,7.9,16.9,1.7,5.4,4.4,5.6,1.3,5.0,6.4,5.6,2.1,0.3,4.1,3.2,25.5,.435,.471,.324,.788,.516,.474,G,fearsje01
5,Tre Johnson,20.7,WAS,1,6,2025,Texas,2025-26,19,WAS,26,8,0,9.0,19.5,4.7,9.4,4.3,10.1,2.3,2.6,1.0,4.9,5.9,3.2,1.1,0.8,2.9,3.2,24.5,.460,.504,.420,.882,.594,.569,G,johnstr03
6,Derik Queen,22.5,ATL,1,13,2025,Maryland,2025-26,21,NOP,35,23,0,9.3,18.5,8.9,16.7,0.4,1.8,5.5,7.0,3.0,10.0,13.0,7.5,1.9,1.7,4.3,5.9,24.4,.500,.532,.206,.774,.563,.510,F-C,queende01
7,Koby Brea,20.2,GSW,2,41,2025,Kentucky,2025-26,23,PHO,2,0,0,6.1,18.2,6.1,6.1,0.0,12.1,12.1,12.1,0.0,6.1,6.1,12.1,0.0,0.0,0.0,0.0,24.2,.333,1.000,.000,1.000,.515,.333,G,breako01
8,Cedric Coward,20.4,POR,1,11,2025,Washington State,2025-26,22,MEM,33,20,0,8.5,18.3,6.1,10.6,2.5,7.7,4.2,5.0,2.8,8.5,11.3,5.2,0.9,0.6,2.8,3.4,23.8,.466,.569,.322,.842,.579,.533,F-G,cowarce01
9,Jase Richardson,19.3,ORL,1,25,2025,Michigan State,2025-26,20,ORL,24,0,0,8.4,17.4,5.5,10.1,2.9,7.2,3.2,4.2,2.5,3.6,6.1,5.5,1.5,0.2,2.9,4.4,22.9,.484,.547,.395,.773,.596,.566,G,richaja02
10,Asa Newell,16.9,IND,1,23,2025,Georgia,2025-26,20,ATL,27,0,0,8.6,15.4,5.0,7.7,3.6,7.7,1.6,2.8,3.6,4.9,8.5,2.4,1.6,1.3,2.4,6.9,22.4,.561,.653,.469,.556,.675,.679,F,newelas01
11,VJ Edgecombe,19.8,PHI,1,3,2025,Baylor,2025-26,20,PHI,29,29,0,8.4,19.2,5.3,11.3,3.0,7.9,2.6,3.3,2.5,4.7,7.2,5.3,1.9,0.7,2.2,4.3,22.3,.436,.473,.382,.775,.540,.515,G-F,edgecvj01
12,Maxime Raynaud,18.6,SAC,2,42,2025,Stanford,2025-26,22,SAC,27,13,0,9.2,17.0,8.7,15.3,0.5,1.6,3.0,4.3,3.9,9.2,13.2,2.2,0.9,1.2,2.1,5.3,22.0,.543,.566,.333,.709,.584,.559,F,raynama01
13,Tyrese Proctor,20.4,CLE,2,49,2025,Duke,2025-26,21,CLE,26,1,0,6.9,20.0,3.1,7.4,3.8,12.6,3.1,3.8,0.8,4.8,5.6,5.7,1.3,0.0,1.8,4.3,20.6,.344,.422,.299,.826,.477,.439,G,proctty01
14,Ace Bailey,19.1,UTA,1,5,2025,Rutgers,2025-26,19,UTA,30,21,0,8.1,18.5,5.1,10.2,3.0,8.3,1.3,2.0,2.8,3.6,6.5,3.0,1.5,0.7,2.4,4.9,20.5,.438,.503,.357,.667,.529,.518,G-F,baileac01
15,Kam Jones,15.8,SAS,2,38,2025,Marquette,2025-26,23,IND,6,0,0,9.5,17.9,8.3,11.9,1.2,6.0,0.0,0.0,1.2,2.4,3.6,4.8,2.4,0.0,0.0,3.6,20.3,.533,.700,.200,,.567,.567,G,joneska03
16,Will Richard,15.1,MEM,2,56,2025,Florida,2025-26,23,GSW,31,13,0,7.2,13.8,3.9,5.5,3.3,8.4,2.6,3.3,2.7,4.2,6.9,2.8,2.5,0.2,2.0,4.9,20.2,.517,.710,.390,.805,.661,.635,G,richawi02
17,Egor Dёmin,19.8,NJN,1,8,2025,Brigham Young,2025-26,19,BRK,29,22,0,6.9,18.0,2.4,5.7,4.5,12.2,1.6,1.8,0.9,5.7,6.6,6.9,1.9,0.6,3.8,3.8,19.9,.385,.427,.366,.885,.531,.510,G,demineg01
18,Danny Wolf,20.0,NJN,1,27,2025,Michigan,2025-26,21,BRK,18,2,0,6.8,17.7,4.2,10.0,2.7,7.7,3.1,3.6,2.1,7.7,9.8,5.0,1.3,0.4,3.5,3.6,19.4,.386,.417,.345,.846,.502,.461,F-C,wolfda01
19,Mohamed Diawara,18.3,LAC,2,51,2025,,2025-26,20,NYK,27,4,0,7.5,18.0,3.4,8.5,4.1,9.5,0.3,1.4,1.7,7.1,8.8,4.7,2.7,1.4,2.7,4.7,19.3,.415,.400,.429,.250,.520,.528,F-C,diawamo01
20,Yanic Konan Niederhäuser,15.2,LAC,1,30,2025,Penn State,2025-26,22,LAC,18,0,0,7.6,11.7,7.6,11.4,0.0,0.3,3.8,6.6,5.4,7.0,12.3,1.9,0.6,2.5,2.5,7.0,19.0,.649,.667,.000,.571,.649,.649,F,konanya01
21,Walter Clayton,16.9,WAS,1,18,2025,Florida,2025-26,22,UTA,30,0,0,6.1,14.6,3.7,6.7,2.4,7.9,4.0,4.1,0.9,4.6,5.6,8.7,1.3,0.6,2.9,5.0,18.6,.419,.549,.310,.955,.568,.503,G,claytwa01
22,Will Riley,17.6,UTA,1,21,2025,Illinois,2025-26,19,WAS,27,0,0,6.7,15.9,5.3,10.5,1.4,5.5,3.1,3.9,2.8,4.3,7.1,4.8,1.4,0.6,2.4,2.5,17.9,.421,.507,.256,.786,.507,.465,F,rileywi01
