Rk,Player,USG%,Draft Team,Round,Pick,Draft Year,College,Season,Age,Team,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Player-additional
1,Dylan Harper,25.1,SAS,1,2,2025,Rutgers,2025-26,19,SAS,25,0,0,540,115,257,98,194,17,63,44,61,22,59,81,94,27,4,39,51,291,.447,.505,.270,.721,.513,.481,G,harpedy01
2,Jeremiah Fears,25.0,NOH,1,7,2025,Oklahoma,2025-26,19,NOP,36,34,0,964,195,448,160,340,35,108,89,113,27,101,128,113,43,7,83,65,514,.435,.471,.324,.788,.516,.474,G,fearsje01
3,Johni Broome,24.8,PHI,2,35,2025,Auburn,2025-26,23,PHI,7,0,0,40,4,20,4,17,0,3,2,4,6,7,13,4,2,0,2,5,10,.200,.235,.000,.500,.230,.200,F-C,broomjo01
4,Cooper Flagg,23.5,DAL,1,1,2025,Duke,2025-26,19,DAL,35,35,0,1212,252,529,220,411,32,118,126,155,40,185,225,145,43,28,78,81,662,.476,.535,.271,.813,.554,.507,F-G,flaggco01
5,Derik Queen,22.5,ATL,1,13,2025,Maryland,2025-26,21,NOP,35,23,0,904,175,350,168,316,7,34,103,133,57,189,246,141,36,33,82,112,460,.500,.532,.206,.774,.563,.510,F-C,queende01
6,Kon Knueppel,22.3,CHA,1,4,2025,Duke,2025-26,20,CHO,34,33,0,1126,227,474,105,189,122,285,85,96,33,140,173,119,22,7,81,78,661,.479,.556,.428,.885,.640,.608,G-F,knuepko01
7,Noa Essengue,20.9,CHI,1,12,2025,,2025-26,19,CHI,2,0,0,6,0,3,0,1,0,2,0,0,0,0,0,0,1,0,0,1,0,.000,.000,.000,,.000,.000,F,essenno01
8,Tre Johnson,20.7,WAS,1,6,2025,Texas,2025-26,19,WAS,26,8,0,615,116,252,61,121,55,131,30,34,13,63,76,42,14,10,38,41,317,.460,.504,.420,.882,.594,.569,G,johnstr03
9,Tyrese Proctor,20.4,CLE,2,49,2025,Duke,2025-26,21,CLE,26,1,0,289,42,122,19,45,23,77,19,23,5,29,34,35,8,0,11,26,126,.344,.422,.299,.826,.477,.439,G,proctty01
10,Cedric Coward,20.4,POR,1,11,2025,Washington State,2025-26,22,MEM,33,20,0,895,162,348,115,202,47,146,80,95,53,162,215,99,18,11,53,65,451,.466,.569,.322,.842,.579,.533,F-G,cowarce01
11,Koby Brea,20.2,GSW,2,41,2025,Kentucky,2025-26,23,PHO,2,0,0,8,1,3,1,1,0,2,2,2,0,1,1,2,0,0,0,0,4,.333,1.000,.000,1.000,.515,.333,G,breako01
12,Danny Wolf,20.0,NJN,1,27,2025,Michigan,2025-26,21,BRK,18,2,0,353,49,127,30,72,19,55,22,26,15,55,70,36,9,3,25,26,139,.386,.417,.345,.846,.502,.461,F-C,wolfda01
13,VJ Edgecombe,19.8,PHI,1,3,2025,Baylor,2025-26,20,PHI,29,29,0,1031,179,411,114,241,65,170,55,71,54,100,154,113,41,15,47,93,478,.436,.473,.382,.775,.540,.515,G-F,edgecvj01
14,Egor Dёmin,19.8,NJN,1,8,2025,Brigham Young,2025-26,19,BRK,29,22,0,705,99,257,35,82,64,175,23,26,13,82,95,99,27,9,55,55,285,.385,.427,.366,.885,.531,.510,G,demineg01
15,Jahmai Mashack,19.7,HOU,2,59,2025,Tennessee,2025-26,23,MEM,6,0,0,21,2,7,0,2,2,5,0,0,0,5,5,2,1,0,3,1,6,.286,.000,.400,,.429,.429,G,mashaja01
16,Ben Saraf,19.5,NJN,1,26,2025,,2025-26,19,BRK,12,5,0,203,22,62,13,29,9,33,12,15,5,14,19,34,8,3,23,15,65,.355,.448,.273,.800,.474,.427,G,sarafbe01
17,Yang Hansen,19.4,MEM,1,16,2025,,2025-26,20,POR,19,1,0,152,15,52,12,30,3,22,13,14,9,26,35,14,1,8,15,22,46,.288,.400,.136,.929,.395,.317,C,yangha01
18,Jase Richardson,19.3,ORL,1,25,2025,Michigan State,2025-26,20,ORL,24,0,0,251,44,91,29,53,15,38,17,22,13,19,32,29,8,1,15,23,120,.484,.547,.395,.773,.596,.566,G,richaja02
19,Ace Bailey,19.1,UTA,1,5,2025,Rutgers,2025-26,19,UTA,30,21,0,715,123,281,78,155,45,126,20,30,43,55,98,46,22,11,37,74,311,.438,.503,.357,.667,.529,.518,G-F,baileac01
20,Maxime Raynaud,18.6,SAC,2,42,2025,Stanford,2025-26,22,SAC,27,13,0,616,119,219,112,198,7,21,39,55,51,119,170,29,12,15,27,69,284,.543,.566,.333,.709,.584,.559,F,raynama01
21,Rasheer Fleming,18.3,MIN,2,31,2025,Saint Joseph's,2025-26,21,PHO,19,0,0,134,18,52,12,21,6,31,7,9,13,10,23,3,5,5,3,15,49,.346,.571,.194,.778,.438,.404,F,flemira01
22,Mohamed Diawara,18.3,LAC,2,51,2025,,2025-26,20,NYK,27,4,0,143,22,53,10,25,12,28,1,4,5,21,26,14,8,4,8,14,57,.415,.400,.429,.250,.520,.528,F-C,diawamo01
23,Will Riley,17.6,UTA,1,21,2025,Illinois,2025-26,19,WAS,27,0,0,340,48,114,38,75,10,39,22,28,20,31,51,34,10,4,17,18,128,.421,.507,.256,.786,.507,.465,F,rileywi01
24,Javon Small,17.3,MEM,2,48,2025,West Virginia,2025-26,23,MEM,11,0,0,123,12,37,5,13,7,24,8,10,2,11,13,32,1,1,10,11,39,.324,.385,.292,.800,.471,.419,G,smallja01
25,Asa Newell,16.9,IND,1,23,2025,Georgia,2025-26,20,ATL,27,0,0,299,55,98,32,49,23,49,10,18,23,31,54,15,10,8,15,44,143,.561,.653,.469,.556,.675,.679,F,newelas01
26,Walter Clayton,16.9,WAS,1,18,2025,Florida,2025-26,22,UTA,30,0,0,501,65,155,39,71,26,84,42,44,10,49,59,92,14,6,31,53,198,.419,.549,.310,.955,.568,.503,G,claytwa01
27,Noah Penda,16.5,BOS,2,32,2025,,2025-26,21,ORL,21,0,0,224,31,67,20,42,11,25,10,17,32,43,75,23,6,6,14,21,83,.463,.476,.440,.588,.557,.545,G-F,pendano01
28,Carter Bryant,16.5,SAS,1,14,2025,Arizona,2025-26,20,SAS,27,0,0,207,22,69,12,31,10,38,6,8,9,34,43,5,4,2,9,22,60,.319,.387,.263,.750,.414,.391,G-F,bryanca01
29,Khaman Maluach,16.4,HOU,1,10,2025,Duke,2025-26,19,PHO,16,0,0,75,8,18,8,14,0,4,7,8,5,11,16,2,1,7,8,14,23,.444,.571,.000,.875,.534,.444,C,maluakh01
