Rk,Player,Draft Team,Round,Pick,Draft Year,College,Season,Age,Team,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Player-additional
1,Ace Bailey,UTA,1,5,2025,Rutgers,2025-26,19,UTA,31,21,0,725,124,284,79,156,45,128,20,30,43,56,99,46,23,11,37,75,313,.437,.506,.352,.667,.527,.516,G-F,baileac01
2,Brooks Barnhizer,OKC,2,44,2025,Northwestern,2025-26,23,OKC,21,0,0,160,12,27,11,21,1,6,4,6,7,31,38,9,3,2,3,12,29,.444,.524,.167,.667,.489,.463,G,barnhbr01
3,Joan Beringer,MIN,1,17,2025,,2025-26,19,MIN,13,0,0,58,11,17,11,17,0,0,2,3,6,13,19,0,1,5,3,9,24,.647,.647,,.667,.655,.647,C,berinjo01
4,Koby Brea,GSW,2,41,2025,Kentucky,2025-26,23,PHO,2,0,0,8,1,3,1,1,0,2,2,2,0,1,1,2,0,0,0,0,4,.333,1.000,.000,1.000,.515,.333,G,breako01
5,Johni Broome,PHI,2,35,2025,Auburn,2025-26,23,PHI,7,0,0,40,4,20,4,17,0,3,2,4,6,7,13,4,2,0,2,5,10,.200,.235,.000,.500,.230,.200,F-C,broomjo01
6,Carter Bryant,SAS,1,14,2025,Arizona,2025-26,20,SAS,29,0,0,221,23,72,13,33,10,39,6,8,9,36,45,5,4,2,10,22,62,.319,.394,.256,.750,.410,.389,G-F,bryanca01
7,Walter Clayton,WAS,1,18,2025,Florida,2025-26,22,UTA,33,0,0,562,76,182,41,79,35,103,43,45,11,55,66,102,16,8,35,60,230,.418,.519,.340,.956,.570,.514,G,claytwa01
8,Nique Clifford,OKC,1,24,2025,Colorado State,2025-26,23,SAC,34,3,0,637,70,172,45,95,25,77,22,31,23,71,94,45,22,9,39,70,187,.407,.474,.325,.710,.504,.480,G,cliffni01
9,Cedric Coward,POR,1,11,2025,Washington State,2025-26,22,MEM,35,22,0,933,171,366,121,214,50,152,88,104,55,177,232,104,19,11,59,70,480,.467,.565,.329,.846,.583,.536,F-G,cowarce01
10,Egor Dёmin,NJN,1,8,2025,Brigham Young,2025-26,19,BRK,32,25,0,790,115,288,38,90,77,198,28,33,16,91,107,111,31,10,59,60,335,.399,.422,.389,.848,.554,.533,G,demineg01
11,Mohamed Diawara,LAC,2,51,2025,,2025-26,20,NYK,30,4,0,154,22,55,10,25,12,30,1,4,5,21,26,14,8,4,8,16,57,.400,.400,.400,.250,.502,.509,F-C,diawamo01
12,VJ Edgecombe,PHI,1,3,2025,Baylor,2025-26,20,PHI,32,32,0,1148,192,449,121,259,71,190,59,75,58,119,177,136,50,17,53,100,514,.428,.467,.374,.787,.533,.507,G-F,edgecvj01
13,Noa Essengue,CHI,1,12,2025,,2025-26,19,CHI,2,0,0,6,0,3,0,1,0,2,0,0,0,0,0,0,1,0,0,1,0,.000,.000,.000,,.000,.000,F,essenno01
14,Jeremiah Fears,NOH,1,7,2025,Oklahoma,2025-26,19,NOP,40,38,0,1068,219,500,177,372,42,128,96,122,29,115,144,126,50,9,99,73,576,.438,.476,.328,.787,.520,.480,G,fearsje01
15,Cooper Flagg,DAL,1,1,2025,Duke,2025-26,19,DAL,37,37,0,1285,270,562,233,433,37,129,131,161,46,197,243,159,47,29,82,87,708,.480,.538,.287,.814,.559,.513,F-G,flaggco01
16,Rasheer Fleming,MIN,2,31,2025,Saint Joseph's,2025-26,21,PHO,22,0,0,152,22,61,14,26,8,35,7,9,16,13,29,3,5,6,3,18,59,.361,.538,.229,.778,.454,.426,F,flemira01
17,Hugo González,BOS,1,28,2025,,2025-26,19,BOS,32,1,0,481,54,109,37,63,17,46,9,17,30,77,107,19,22,10,20,62,134,.495,.587,.370,.529,.575,.573,G-F,gonzahu01
18,Dylan Harper,SAS,1,2,2025,Rutgers,2025-26,19,SAS,27,0,0,578,118,270,101,202,17,68,44,61,23,64,87,99,29,5,40,53,297,.437,.500,.250,.721,.500,.469,G,harpedy01
19,DaRon Holmes,PHO,1,22,2024,Dayton,2025-26,23,DEN,9,5,0,123,13,29,3,7,10,22,5,6,3,12,15,13,0,4,4,9,41,.448,.429,.455,.833,.648,.621,F,holmeda01
20,Kasparas Jakučionis,MIA,1,20,2025,Illinois,2025-26,19,MIA,12,1,0,169,15,45,3,19,12,26,10,10,9,14,23,12,8,0,7,17,52,.333,.158,.462,1.000,.526,.467,G,jakucka01
21,Sion James,CHA,2,33,2025,Duke,2025-26,23,CHO,38,16,0,979,76,187,33,73,43,114,52,61,20,105,125,69,23,16,32,65,247,.406,.452,.377,.852,.578,.521,G,jamessi01
22,Tre Johnson,WAS,1,6,2025,Texas,2025-26,19,WAS,30,12,0,718,132,290,72,139,60,151,44,48,14,73,87,55,21,10,47,54,368,.455,.518,.397,.917,.591,.559,G,johnstr03
23,Kam Jones,SAS,2,38,2025,Marquette,2025-26,23,IND,8,0,0,48,8,15,7,10,1,5,0,0,1,2,3,6,2,0,0,4,17,.533,.700,.200,,.567,.567,G,joneska03
24,Ryan Kalkbrenner,CHA,2,34,2025,Creighton,2025-26,24,CHO,26,25,0,665,96,122,96,120,0,2,34,47,67,100,167,16,18,47,30,48,226,.787,.800,.000,.723,.792,.787,C,kalkbry01
25,Kon Knueppel,CHA,1,4,2025,Duke,2025-26,20,CHO,37,36,0,1216,244,516,112,207,132,309,93,105,38,156,194,130,24,8,87,89,713,.473,.541,.427,.886,.634,.601,G-F,knuepko01
26,Yanic Konan Niederhäuser,LAC,1,30,2025,Penn State,2025-26,22,LAC,20,0,0,162,24,39,24,38,0,1,13,23,18,23,41,6,2,8,8,22,61,.615,.632,.000,.565,.621,.615,F,konanya01
27,Chaz Lanier,DET,2,37,2025,Tennessee,2025-26,24,DET,16,0,0,153,17,48,3,7,14,41,5,5,6,9,15,12,5,0,1,5,53,.354,.429,.341,1.000,.528,.500,G,laniech01
28,Khaman Maluach,HOU,1,10,2025,Duke,2025-26,19,PHO,17,0,0,79,8,19,8,14,0,5,7,8,5,12,17,3,1,7,8,14,23,.421,.571,.000,.875,.511,.421,C,maluakh01
29,Alijah Martin,TOR,2,39,2025,Florida,2025-26,24,TOR,4,0,0,23,3,8,2,3,1,5,0,0,0,1,1,3,1,1,1,0,7,.375,.667,.200,,.438,.438,G,martial01
30,Jahmai Mashack,HOU,2,59,2025,Tennessee,2025-26,23,MEM,7,0,0,25,2,8,0,2,2,6,0,0,0,5,5,2,1,0,3,1,6,.250,.000,.333,,.375,.375,G,mashaja01
