
Rk,Player,Draft Team,Round,Pick,Draft Year,College,Season,Age,Team,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Player-additional
1,Kon Knueppel,CHA,1,4,2025,Duke,2025-26,20,CHO,34,33,1126,227,474,105,189,122,285,85,96,661,.479,.556,.428,.885,.640,.608,G-F,knuepko01
2,Cooper Flagg,DAL,1,1,2025,Duke,2025-26,19,DAL,35,35,1212,252,529,220,411,32,118,126,155,662,.476,.535,.271,.813,.554,.507,F-G,flaggco01
3,Ryan Kalkbrenner,CHA,2,34,2025,Creighton,2025-26,24,CHO,26,25,665,96,122,96,120,0,2,34,47,226,.787,.800,.000,.723,.792,.787,C,kalkbry01
4,Cedric Coward,POR,1,11,2025,Washington State,2025-26,22,MEM,34,21,908,168,357,119,208,49,149,82,97,467,.471,.572,.329,.845,.584,.539,F-G,cowarce01
5,VJ Edgecombe,PHI,1,3,2025,Baylor,2025-26,20,PHI,29,29,1031,179,411,114,241,65,170,55,71,478,.436,.473,.382,.775,.540,.515,G-F,edgecvj01
6,Will Richard,MEM,2,56,2025,Florida,2025-26,23,GSW,31,13,605,90,174,49,69,41,105,33,41,254,.517,.710,.390,.805,.661,.635,G,richawi02
7,Derik Queen,ATL,1,13,2025,Maryland,2025-26,21,NOP,36,24,933,180,361,173,326,7,35,106,137,473,.499,.531,.200,.774,.561,.508,F-C,queende01
8,Collin Murray-Boyles,TOR,1,9,2025,South Carolina,2025-26,20,TOR,29,5,545,81,155,66,118,15,37,21,37,198,.523,.559,.405,.568,.578,.571,F,murraco01
9,Sion James,CHA,2,33,2025,Duke,2025-26,23,CHO,35,15,909,72,177,33,69,39,108,47,55,230,.407,.478,.361,.855,.572,.517,G,jamessi01
10,Maxime Raynaud,SAC,2,42,2025,Stanford,2025-26,22,SAC,28,14,641,122,224,115,202,7,22,39,55,290,.545,.569,.318,.709,.584,.560,F,raynama01
11,Dylan Harper,SAS,1,2,2025,Rutgers,2025-26,19,SAS,25,0,540,115,257,98,194,17,63,44,61,291,.447,.505,.270,.721,.513,.481,G,harpedy01
12,Hugo González,BOS,1,28,2025,,2025-26,19,BOS,29,1,430,50,97,35,58,15,39,6,11,121,.515,.603,.385,.545,.594,.593,G-F,gonzahu01
13,Asa Newell,IND,1,23,2025,Georgia,2025-26,20,ATL,27,0,299,55,98,32,49,23,49,10,18,143,.561,.653,.469,.556,.675,.679,F,newelas01
14,Jase Richardson,ORL,1,25,2025,Michigan State,2025-26,20,ORL,25,0,278,49,100,32,57,17,43,17,23,132,.490,.561,.395,.739,.599,.575,G,richaja02
15,Walter Clayton,WAS,1,18,2025,Florida,2025-26,22,UTA,30,0,501,65,155,39,71,26,84,42,44,198,.419,.549,.310,.955,.568,.503,G,claytwa01
16,Noah Penda,BOS,2,32,2025,,2025-26,21,ORL,21,0,224,31,67,20,42,11,25,10,17,83,.463,.476,.440,.588,.557,.545,G-F,pendano01
17,Drake Powell,ATL,1,22,2025,North Carolina,2025-26,20,BRK,24,1,437,52,108,34,58,18,50,28,31,150,.481,.586,.360,.903,.617,.565,G-F,poweldr01
18,Liam McNeeley,PHO,1,29,2025,Connecticut,2025-26,20,CHO,24,0,301,31,79,11,27,20,52,21,25,103,.392,.407,.385,.840,.572,.519,G-F,mcneeli01
19,Brooks Barnhizer,OKC,2,44,2025,Northwestern,2025-26,23,OKC,20,0,153,12,26,11,21,1,5,4,6,29,.462,.524,.200,.667,.506,.481,G,barnhbr01
20,Yanic Konan Niederhäuser,LAC,1,30,2025,Penn State,2025-26,22,LAC,18,0,158,24,37,24,36,0,1,12,21,60,.649,.667,.000,.571,.649,.649,F,konanya01
21,Egor Dёmin,NJN,1,8,2025,Brigham Young,2025-26,19,BRK,30,23,732,104,266,37,86,67,180,23,26,298,.391,.430,.372,.885,.537,.517,G,demineg01
22,Chaz Lanier,DET,2,37,2025,Tennessee,2025-26,24,DET,14,0,136,14,42,2,5,12,37,5,5,45,.333,.400,.324,1.000,.509,.476,G,laniech01
23,Tre Johnson,WAS,1,6,2025,Texas,2025-26,19,WAS,27,9,642,119,263,63,127,56,136,36,40,330,.452,.496,.412,.900,.588,.559,G,johnstr03
24,Kasparas Jakučionis,MIA,1,20,2025,Illinois,2025-26,19,MIA,11,1,164,14,43,3,19,11,24,8,8,47,.326,.158,.458,1.000,.505,.453,G,jakucka01
25,Jamir Watkins,UTA,2,43,2025,Florida State,2025-26,24,WAS,14,2,162,14,28,9,11,5,17,8,8,41,.500,.818,.294,1.000,.650,.589,F-G,watkija01
26,Tyrese Proctor,CLE,2,49,2025,Duke,2025-26,21,CLE,26,1,289,42,122,19,45,23,77,19,23,126,.344,.422,.299,.826,.477,.439,G,proctty01
27,Mohamed Diawara,LAC,2,51,2025,,2025-26,20,NYK,27,4,143,22,53,10,25,12,28,1,4,57,.415,.400,.429,.250,.520,.528,F-C,diawamo01
28,Javon Small,MEM,2,48,2025,West Virginia,2025-26,23,MEM,12,0,139,14,42,7,17,7,25,11,13,46,.333,.412,.280,.846,.482,.417,G,smallja01
29,Joan Beringer,MIN,1,17,2025,,2025-26,19,MIN,12,0,53,8,13,8,13,0,0,2,3,18,.615,.615,,.667,.628,.615,C,berinjo01
30,Rasheer Fleming,MIN,2,31,2025,Saint Joseph's,2025-26,21,PHO,19,0,134,18,52,12,21,6,31,7,9,49,.346,.571,.194,.778,.438,.404,F,flemira01
31,Kam Jones,SAS,2,38,2025,Marquette,2025-26,23,IND,7,0,46,8,15,7,10,1,5,0,0,17,.533,.700,.200,,.567,.567,G,joneska03
32,Amari Williams,ORL,2,46,2025,Kentucky,2025-26,24,BOS,6,0,31,1,2,1,2,0,0,1,2,3,.500,.500,,.500,.521,.500,F,william01
