Rk,Player,Ht,Draft Team,Round,Pick,Draft Year,College,Season,Age,Team,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Player-additional
1,Ryan Kalkbrenner,7-1,CHA,2,34,2025,Creighton,2025-26,24,CHO,26,25,0,665,96,122,96,120,0,2,34,47,67,100,167,16,18,47,30,48,226,.787,.800,.000,.723,.792,.787,C,kalkbry01
2,Khaman Maluach,7-1,HOU,1,10,2025,Duke,2025-26,19,PHO,16,0,0,75,8,18,8,14,0,4,7,8,5,11,16,2,1,7,8,14,23,.444,.571,.000,.875,.534,.444,C,maluakh01
3,Maxime Raynaud,7-1,SAC,2,42,2025,Stanford,2025-26,22,SAC,28,14,0,641,122,224,115,202,7,22,39,55,53,125,178,30,12,15,28,71,290,.545,.569,.318,.709,.584,.560,F,raynama01
4,Yang Hansen,7-1,MEM,1,16,2025,,2025-26,20,POR,19,1,0,152,15,52,12,30,3,22,13,14,9,26,35,14,1,8,15,22,46,.288,.400,.136,.929,.395,.317,C,yangha01
5,Joan Beringer,6-11,MIN,1,17,2025,,2025-26,19,MIN,12,0,0,53,8,13,8,13,0,0,2,3,4,13,17,0,1,5,3,9,18,.615,.615,,.667,.628,.615,C,berinjo01
6,Yanic Konan Niederhäuser,6-11,LAC,1,30,2025,Penn State,2025-26,22,LAC,18,0,0,158,24,37,24,36,0,1,12,21,17,22,39,6,2,8,8,22,60,.649,.667,.000,.571,.649,.649,F,konanya01
7,Amari Williams,6-11,ORL,2,46,2025,Kentucky,2025-26,24,BOS,6,0,0,31,1,2,1,2,0,0,1,2,2,5,7,1,1,2,0,4,3,.500,.500,,.500,.521,.500,F,william01
8,Danny Wolf,6-11,NJN,1,27,2025,Michigan,2025-26,21,BRK,19,2,0,370,50,129,31,74,19,55,22,26,15,58,73,37,10,3,25,28,141,.388,.419,.345,.846,.502,.461,F-C,wolfda01
9,Johni Broome,6-10,PHI,2,35,2025,Auburn,2025-26,23,PHI,7,0,0,40,4,20,4,17,0,3,2,4,6,7,13,4,2,0,2,5,10,.200,.235,.000,.500,.230,.200,F-C,broomjo01
10,Asa Newell,6-10,IND,1,23,2025,Georgia,2025-26,20,ATL,27,0,0,299,55,98,32,49,23,49,10,18,23,31,54,15,10,8,15,44,143,.561,.653,.469,.556,.675,.679,F,newelas01
11,Ace Bailey,6-9,UTA,1,5,2025,Rutgers,2025-26,19,UTA,30,21,0,715,123,281,78,155,45,126,20,30,43,55,98,46,22,11,37,74,311,.438,.503,.357,.667,.529,.518,G-F,baileac01
12,Mohamed Diawara,6-9,LAC,2,51,2025,,2025-26,20,NYK,27,4,0,143,22,53,10,25,12,28,1,4,5,21,26,14,8,4,8,14,57,.415,.400,.429,.250,.520,.528,F-C,diawamo01
13,Cooper Flagg,6-9,DAL,1,1,2025,Duke,2025-26,19,DAL,35,35,0,1212,252,529,220,411,32,118,126,155,40,185,225,145,43,28,78,81,662,.476,.535,.271,.813,.554,.507,F-G,flaggco01
