,missing_rows,missing_share
REB_PCT,3041,0.06478759214282671
DREB_PCT,2429,0.0517491158549576
OREB_PCT,2340,0.04985299757126422
GP,0,0.0
GROUP_SET,0,0.0
GROUP_ID,0,0.0
GROUP_NAME,0,0.0
W_PCT,0,0.0
L,0,0.0
W,0,0.0
MIN,0,0.0
DEF_RATING,0,0.0
E_OFF_RATING,0,0.0
OFF_RATING,0,0.0
E_DEF_RATING,0,0.0
AST_PCT,0,0.0
NET_RATING,0,0.0
E_NET_RATING,0,0.0
AST_RATIO,0,0.0
AST_TO,0,0.0
TM_TOV_PCT,0,0.0
EFG_PCT,0,0.0
TS_PCT,0,0.0
E_PACE,0,0.0
PACE,0,0.0
PACE_PER40,0,0.0
POSS,0,0.0
PIE,0,0.0
GP_RANK,0,0.0
W_RANK,0,0.0
L_RANK,0,0.0
W_PCT_RANK,0,0.0
MIN_RANK,0,0.0
OFF_RATING_RANK,0,0.0
DEF_RATING_RANK,0,0.0
NET_RATING_RANK,0,0.0
AST_PCT_RANK,0,0.0
AST_TO_RANK,0,0.0
AST_RATIO_RANK,0,0.0
OREB_PCT_RANK,0,0.0
DREB_PCT_RANK,0,0.0
REB_PCT_RANK,0,0.0
TM_TOV_PCT_RANK,0,0.0
EFG_PCT_RANK,0,0.0
TS_PCT_RANK,0,0.0
PACE_RANK,0,0.0
PIE_RANK,0,0.0
SUM_TIME_PLAYED,0,0.0
pair,0,0.0
season,0,0.0
team_id,0,0.0
base_min,0,0.0
endpoint_boundary_250,0,0.0
player_1_id,0,0.0
player_2_id,0,0.0
