season,rows,median_possessions,mean_net_rating,median_net_rating,net_rating_variance,median_absolute_net,zero_possession_rows
2014-15,4382,263.0,-5.389707895937928,-2.5,821.173957047732,8.7,10
2015-16,3844,295.0,-4.462773152965661,-1.7,825.9198862446493,7.8,8
2016-17,3957,296.0,-4.320166793025019,-2.2,671.9412312158515,8.3,14
2017-18,4588,212.0,-4.2183086312118565,-2.1,1001.5496669010216,8.6,13
2018-19,4795,227.0,-4.18058394160584,-2.0,948.0878811775046,8.6,11
2019-20,4531,209.0,-3.060229529905098,-1.4,788.3246607861562,8.8,14
2020-21,4991,196.0,-4.239110398717692,-1.9,924.0239049399116,9.2,23
2021-22,5723,169.0,-5.208509522977459,-2.2,1101.7907087707456,9.7,22
2022-23,4785,234.0,-3.281776384535005,-1.5,836.0113860578441,8.7,20
2023-24,5190,174.0,-4.691791907514451,-1.9,1040.014517312635,10.1,17
