season,team_id,all_rows,eligible_rows,row_share
2014-15,1610612737,110,81,0.7363636363636363
2014-15,1610612738,177,102,0.576271186440678
2014-15,1610612739,155,82,0.5290322580645161
2014-15,1610612740,169,88,0.5207100591715976
2014-15,1610612741,90,64,0.7111111111111111
2014-15,1610612742,145,100,0.6896551724137931
2014-15,1610612743,162,112,0.691358024691358
2014-15,1610612744,102,71,0.696078431372549
2014-15,1610612745,166,83,0.5
2014-15,1610612746,161,63,0.391304347826087
2014-15,1610612747,124,87,0.7016129032258065
2014-15,1610612748,166,112,0.6746987951807228
2014-15,1610612749,156,92,0.5897435897435898
2014-15,1610612750,204,105,0.5147058823529411
2014-15,1610612751,150,87,0.58
2014-15,1610612752,164,130,0.7926829268292683
2014-15,1610612753,105,93,0.8857142857142857
2014-15,1610612754,111,80,0.7207207207207207
2014-15,1610612755,202,123,0.6089108910891089
2014-15,1610612756,181,74,0.4088397790055249
2014-15,1610612757,139,92,0.6618705035971223
2014-15,1610612758,133,83,0.6240601503759399
2014-15,1610612759,127,89,0.7007874015748031
2014-15,1610612760,164,112,0.6829268292682927
2014-15,1610612761,99,55,0.5555555555555556
2014-15,1610612762,168,70,0.4166666666666667
2014-15,1610612763,138,77,0.5579710144927537
2014-15,1610612764,135,80,0.5925925925925926
2014-15,1610612765,150,90,0.6
2014-15,1610612766,129,89,0.689922480620155
2015-16,1610612737,127,78,0.6141732283464567
2015-16,1610612738,111,68,0.6126126126126126
2015-16,1610612739,131,79,0.6030534351145038
2015-16,1610612740,155,109,0.7032258064516129
2015-16,1610612741,115,93,0.808695652173913
2015-16,1610612742,117,91,0.7777777777777778
2015-16,1610612743,142,98,0.6901408450704225
2015-16,1610612744,111,79,0.7117117117117117
2015-16,1610612745,131,84,0.6412213740458015
2015-16,1610612746,134,84,0.6268656716417911
2015-16,1610612747,103,90,0.8737864077669902
2015-16,1610612748,131,78,0.5954198473282443
2015-16,1610612749,123,76,0.6178861788617886
2015-16,1610612750,112,78,0.6964285714285714
2015-16,1610612751,124,106,0.8548387096774194
2015-16,1610612752,102,71,0.696078431372549
2015-16,1610612753,124,95,0.7661290322580645
2015-16,1610612754,112,79,0.7053571428571429
2015-16,1610612755,133,90,0.6766917293233082
2015-16,1610612756,184,92,0.5
2015-16,1610612757,116,54,0.46551724137931033
2015-16,1610612758,98,69,0.7040816326530612
2015-16,1610612759,133,89,0.6691729323308271
2015-16,1610612760,117,74,0.6324786324786325
2015-16,1610612761,111,69,0.6216216216216216
2015-16,1610612762,118,74,0.6271186440677966
2015-16,1610612763,234,108,0.46153846153846156
2015-16,1610612764,148,89,0.6013513513513513
2015-16,1610612765,124,67,0.5403225806451613
2015-16,1610612766,123,80,0.6504065040650406
2016-17,1610612737,146,89,0.6095890410958904
2016-17,1610612738,101,71,0.7029702970297029
2016-17,1610612739,150,97,0.6466666666666666
2016-17,1610612740,213,102,0.4788732394366197
2016-17,1610612741,135,94,0.6962962962962963
2016-17,1610612742,198,101,0.51010101010101
2016-17,1610612743,143,80,0.5594405594405595
2016-17,1610612744,127,81,0.6377952755905512
2016-17,1610612745,140,63,0.45
2016-17,1610612746,94,65,0.6914893617021277
2016-17,1610612747,142,98,0.6901408450704225
2016-17,1610612748,101,78,0.7722772277227723
2016-17,1610612749,135,79,0.5851851851851851
2016-17,1610612750,106,62,0.5849056603773585
2016-17,1610612751,173,105,0.6069364161849711
2016-17,1610612752,117,90,0.7692307692307693
2016-17,1610612753,137,74,0.5401459854014599
2016-17,1610612754,112,72,0.6428571428571429
2016-17,1610612755,154,91,0.5909090909090909
2016-17,1610612756,119,84,0.7058823529411765
2016-17,1610612757,97,70,0.7216494845360825
2016-17,1610612758,142,107,0.7535211267605634
2016-17,1610612759,117,84,0.717948717948718
2016-17,1610612760,148,87,0.5878378378378378
2016-17,1610612761,119,84,0.7058823529411765
2016-17,1610612762,103,81,0.7864077669902912
2016-17,1610612763,130,94,0.7230769230769231
2016-17,1610612764,122,83,0.680327868852459
2016-17,1610612765,100,70,0.7
2016-17,1610612766,136,71,0.5220588235294118
2017-18,1610612737,180,112,0.6222222222222222
2017-18,1610612738,146,79,0.541095890410959
2017-18,1610612739,178,115,0.6460674157303371
2017-18,1610612740,186,79,0.42473118279569894
2017-18,1610612741,162,95,0.5864197530864198
2017-18,1610612742,185,89,0.4810810810810811
2017-18,1610612743,129,83,0.6434108527131783
2017-18,1610612744,121,101,0.8347107438016529
2017-18,1610612745,169,65,0.38461538461538464
2017-18,1610612746,166,114,0.6867469879518072
2017-18,1610612747,205,91,0.44390243902439025
2017-18,1610612748,144,76,0.5277777777777778
2017-18,1610612749,210,85,0.40476190476190477
2017-18,1610612750,94,50,0.5319148936170213
2017-18,1610612751,179,95,0.5307262569832403
2017-18,1610612752,165,100,0.6060606060606061
2017-18,1610612753,156,105,0.6730769230769231
2017-18,1610612754,126,68,0.5396825396825397
2017-18,1610612755,175,87,0.49714285714285716
2017-18,1610612756,185,106,0.572972972972973
2017-18,1610612757,107,63,0.5887850467289719
2017-18,1610612758,141,85,0.6028368794326241
2017-18,1610612759,130,80,0.6153846153846154
2017-18,1610612760,117,62,0.5299145299145299
2017-18,1610612761,115,65,0.5652173913043478
2017-18,1610612762,138,90,0.6521739130434783
2017-18,1610612763,209,114,0.5454545454545454
2017-18,1610612764,96,65,0.6770833333333334
2017-18,1610612765,161,89,0.5527950310559007
2017-18,1610612766,113,78,0.6902654867256637
2018-19,1610612737,182,100,0.5494505494505495
2018-19,1610612738,111,74,0.6666666666666666
2018-19,1610612739,227,121,0.5330396475770925
2018-19,1610612740,161,109,0.6770186335403726
2018-19,1610612741,165,119,0.7212121212121212
2018-19,1610612742,159,103,0.6477987421383647
2018-19,1610612743,124,60,0.4838709677419355
2018-19,1610612744,130,85,0.6538461538461539
2018-19,1610612745,168,87,0.5178571428571429
2018-19,1610612746,173,95,0.5491329479768786
2018-19,1610612747,186,112,0.6021505376344086
2018-19,1610612748,128,76,0.59375
2018-19,1610612749,198,94,0.47474747474747475
2018-19,1610612750,176,98,0.5568181818181818
2018-19,1610612751,139,78,0.5611510791366906
2018-19,1610612752,197,118,0.5989847715736041
2018-19,1610612753,113,71,0.6283185840707964
2018-19,1610612754,112,66,0.5892857142857143
2018-19,1610612755,220,110,0.5
2018-19,1610612756,189,99,0.5238095238095238
2018-19,1610612757,138,78,0.5652173913043478
2018-19,1610612758,150,95,0.6333333333333333
2018-19,1610612759,112,66,0.5892857142857143
2018-19,1610612760,118,81,0.6864406779661016
2018-19,1610612761,193,94,0.48704663212435234
2018-19,1610612762,133,87,0.6541353383458647
2018-19,1610612763,232,138,0.5948275862068966
2018-19,1610612764,199,110,0.5527638190954773
2018-19,1610612765,147,89,0.6054421768707483
2018-19,1610612766,115,84,0.7304347826086957
2019-20,1610612737,183,104,0.5683060109289617
2019-20,1610612738,128,82,0.640625
2019-20,1610612739,149,81,0.5436241610738255
2019-20,1610612740,116,83,0.7155172413793104
2019-20,1610612741,119,83,0.6974789915966386
2019-20,1610612742,156,84,0.5384615384615384
2019-20,1610612743,160,72,0.45
2019-20,1610612744,173,97,0.5606936416184971
2019-20,1610612745,150,79,0.5266666666666666
2019-20,1610612746,162,93,0.5740740740740741
2019-20,1610612747,147,76,0.5170068027210885
2019-20,1610612748,154,78,0.5064935064935064
2019-20,1610612749,131,88,0.6717557251908397
2019-20,1610612750,203,117,0.5763546798029556
2019-20,1610612751,193,95,0.49222797927461137
2019-20,1610612752,129,85,0.6589147286821705
2019-20,1610612753,149,81,0.5436241610738255
2019-20,1610612754,125,77,0.616
2019-20,1610612755,148,91,0.6148648648648649
2019-20,1610612756,140,84,0.6
2019-20,1610612757,138,92,0.6666666666666666
2019-20,1610612758,188,77,0.4095744680851064
2019-20,1610612759,129,75,0.5813953488372093
2019-20,1610612760,137,70,0.5109489051094891
2019-20,1610612761,129,73,0.5658914728682171
2019-20,1610612762,153,62,0.40522875816993464
2019-20,1610612763,160,97,0.60625
2019-20,1610612764,198,104,0.5252525252525253
2019-20,1610612765,175,89,0.5085714285714286
2019-20,1610612766,109,79,0.7247706422018348
2020-21,1610612737,145,97,0.6689655172413793
2020-21,1610612738,187,107,0.5721925133689839
2020-21,1610612739,213,104,0.48826291079812206
2020-21,1610612740,163,89,0.5460122699386503
2020-21,1610612741,189,88,0.4656084656084656
2020-21,1610612742,153,89,0.5816993464052288
2020-21,1610612743,184,92,0.5
2020-21,1610612744,131,88,0.6717557251908397
2020-21,1610612745,250,136,0.544
2020-21,1610612746,153,87,0.5686274509803921
2020-21,1610612747,145,83,0.5724137931034483
2020-21,1610612748,162,90,0.5555555555555556
2020-21,1610612749,170,77,0.45294117647058824
2020-21,1610612750,109,95,0.8715596330275229
2020-21,1610612751,223,102,0.45739910313901344
2020-21,1610612752,144,72,0.5
2020-21,1610612753,242,130,0.5371900826446281
2020-21,1610612754,147,87,0.5918367346938775
2020-21,1610612755,178,81,0.4550561797752809
2020-21,1610612756,128,86,0.671875
2020-21,1610612757,113,72,0.6371681415929203
2020-21,1610612758,200,95,0.475
2020-21,1610612759,134,82,0.6119402985074627
2020-21,1610612760,190,118,0.6210526315789474
2020-21,1610612761,189,112,0.5925925925925926
2020-21,1610612762,128,53,0.4140625
2020-21,1610612763,138,87,0.6304347826086957
2020-21,1610612764,179,101,0.5642458100558659
2020-21,1610612765,189,123,0.6507936507936508
2020-21,1610612766,115,75,0.6521739130434783
2021-22,1610612737,205,77,0.375609756097561
2021-22,1610612738,199,83,0.41708542713567837
2021-22,1610612739,219,99,0.4520547945205479
2021-22,1610612740,179,117,0.6536312849162011
2021-22,1610612741,178,93,0.5224719101123596
2021-22,1610612742,234,97,0.41452991452991456
2021-22,1610612743,171,89,0.52046783625731
2021-22,1610612744,126,93,0.7380952380952381
2021-22,1610612745,150,103,0.6866666666666666
2021-22,1610612746,183,86,0.46994535519125685
2021-22,1610612747,207,112,0.5410628019323671
2021-22,1610612748,174,75,0.43103448275862066
2021-22,1610612749,248,119,0.4798387096774194
2021-22,1610612750,130,84,0.6461538461538462
2021-22,1610612751,201,129,0.6417910447761194
2021-22,1610612752,162,82,0.5061728395061729
2021-22,1610612753,189,94,0.4973544973544973
2021-22,1610612754,233,156,0.6695278969957081
2021-22,1610612755,170,82,0.4823529411764706
2021-22,1610612756,177,93,0.5254237288135594
2021-22,1610612757,226,142,0.6283185840707964
2021-22,1610612758,212,111,0.5235849056603774
2021-22,1610612759,196,105,0.5357142857142857
2021-22,1610612760,223,133,0.5964125560538116
